rspec/rspec-mocks
convio/watirmark
github/linguist
puppetlabs/puppetlabs-stdlib
katsyoshi/mikutter
applicationsonline/librarian
oneclick/rubyinstaller
rails-sqlserver/tiny_tds
testmycode/tmc-server
vegantech/sims
jashkenas/ruby-processing
leihs/leihs
rack/rack
rdp/freeldssheetmusic.org
mongodb/mongo-ruby-driver
ccls/odms
Casecommons/pg_search
thoughtbot/bourbon
wincent/command-t
inaturalist/inaturalist
cloudfoundry/cloud_controller_ng
jmettraux/ruote
unepwcmc/SAPI
redis/redis-rb
zendesk/zendesk_api_client_rb
openaustralia/planningalerts
hhba/mapa76
mindpin-shcmusic/pin-2012-edu
travis-ci/travis-build
HipByte/RubyMotion
thredded/thredded
thoughtbot/clearance
openteam-tusur/timetable
axsh/wakame-vdc
auditorium/auditorium
rodjek/puppet-lint
calagator/calagator
IntersectAustralia/dc21
kete/kete
scottwainstock/pbm
rubygems/rubygems.org
apache/deltacloud
airbrake/airbrake
openteam-tusur/plans
comptasso/FaitesLesComptes
aronezhang/ironmine
karhatsu/elk_sports
ekylibre/ekylibre
jnunemaker/flipper
weppos/whois
sensu/sensu
ruboto/ruboto
gnome-design-team/gnome-icons
concerto/concerto
MagLev/maglev
Homebrew/homebrew-games
guard/listen
assaf/vanity
markevans/dragonfly
theforeman/foreman
Shopify/active_shipping
openSUSE/open-build-service
puppetlabs/puppetlabs-apache
expertiza/expertiza
rspec/rspec-core
cloudfoundry/warden
shuargan/Tabule
ckruse/cforum
mpi2/imits
tdiary/tdiary-core
zenops/cookbooks
jmettraux/rufus-scheduler
sanger/sequencescape
alabs/oigame
ontohub/ontohub
mongoid/moped
yast/yast-storage
huerlisi/CyDoc
play/play
EOL/eol
skanev/evans
rohandaxini/knowbuddy
openstreetmap/openstreetmap-website
voxpupuli/puppet-nginx
openSUSE/software-o-o
cloudfoundry-attic/vmc
travis-ci/travis-hub
travis-ci/travis-worker
travis-ci/travis-api
koraktor/braumeister.org
rightscale/rightimage
ruby-amqp/bunny
nedforce/devcms-core
Shopify/shopify_app
sferik/sign-in-with-twitter
codeforamerica/follow-all
datasektionen/cashflow
NZOI/nztrain
Homebrew/homebrew-versions
benhoskings/babushka
hotsh/rstat.us
marcandre/backports
alexeymuranov/raclette
djmitche/releng-puppet
mysociety/fixmytransport
telasi/service.telasi.ge
kaznum/sanataro
Vizzuality/iom
puppetlabs/education-builds
railsbridge/docs
projectcypress/cypress
rightscale/right_support
webyast/webyast
rhomobile/rhomobile-docs
projecthydra/active_fedora
rdoc/rdoc
codeforamerica/adopt-a-hydrant
pathwaysmedical/frasernw
psu-stewardship/scholarsphere
ndlib/atrium
mkorcy/tdl_hydra_head
wwagner33/solar
linguisticexplorer/Linguistic-Explorer
morsbox/rusrails
jrochkind/bento_search
ozgg/Sovia
ToxBank/toxbank-investigation
danbartlett/opensit
mbj/mutant
spree/spree_auth_devise
coshx/coshx
alexeymuranov/comb
scottwillson/racing_on_rails
turboladen/hub_hub
TrustTheVote-Project/Voter-Services-Portal
danmunn/redmine_dmsf
BaobabHealthTrust/mnch-hotline
bugsnag/bugsnag-ruby
deiga/new-Roydon
wpscanteam/wpscan
watir/watir-classic
biow0lf/prometheus2.0
scoutapp/scout-plugins
mconf/mconf-web
rapid7/nexpose-client
genome/dgi-db
scholarslab/prism
usgo/gocongress
nabu-catalog/nabu
ongaeshi/milkode
alexjohnj/geographyas
cowboyd/libv8
honeybadger-io/honeybadger-ruby
sensu/sensu-puppet
mholling/nswtopo
r888888888/danbooru
recortable/Masqueunacasa
chengdh/il_yanzhao
urbanadventurer/WhatWeb
FreeRidePGH/BikeBinder
toy/image_optim
BBQ/dfm_b
innoq/iqvoc
myGrid/biocatalogue
unepwcmc/labs
treasure-data/td
next-l/enju_biblio
yast/yast-packager
wagn/wagn-cldstr
42floors/mls-gem
tankwanghow/full_circle
treasure-data/td-client-ruby
fracturedatlas/artfully_ose
conversation/babushka-deps
sunaku/tork
robertgauld/osm
KosyanMedia/nano_api
yast/yast-autoinstallation
floere/phony
rwestgeest/propile
VoicesOfHumanity/InterMix
chastell/kamerling
ourcities/meurio
elektronaut/sugar
recurly/recurly-client-ruby
sighmon/NI
kmuto/review
Libertree/libertree-backend-rb
ruby-protobuf/protobuf
robertgauld/OSMExtender
gderosa/onboard
rightscale/right_agent
engineyard/engineyard-serverside
rs-services/cookbooks_internal
NUBIC/ncs_navigator_deployment
benhoskings/babushka-deps
FreeUKGen/MyopicVicar
opinsys/puavo-users
Progressbar/web
takyam-git/pjeuler
projectcypress/health-data-standards
Shopify/shopify_api
trogdoro/xiki
projecthydra/hydra-head
gmbollati/nacer
uvalib/tracksys
test-unit/test-unit
joto/taginfo
ruby-rdf/rdf
abartov/bybeconv
ronin-ruby/ronin-exploits
sunlightlabs/scout
cloudfoundry/dea_ng
gettalong/webgen
aasm/aasm
huerlisi/bookyt
integrity/integrity
gmassanek/codemarks
vpenso/scripts
Homebrew/homebrew-science
extension/learn
pivotal/LicenseFinder
railsbridge/bridge_troll
Catharz/Raids-Per-Loot
Marketcircle/AXElements
brandleadership/kuhsaft
yast/yast-installation
yast/yast-network
tumblr/jetpants
Imaginea/fontli
npolar/api.npolar.no
librato/librato-services
siwapp/siwapp
yithian/personae
balanced/balanced-api
tknerr/bills-kitchen
gooddata/gooddata-ruby
SpontaneousCMS/spontaneous
jasonknight/salor-retail
Growstuff/growstuff
andyl/BAMRU-Private
sul-dlss/dor-services
rapid7/metasploit_data_models
francocatena/cocts
benbalter/benbalter.github.com
phoet/on_ruby
sul-dlss/sw_index_tests
ericduran/drupalcores
domthu/13fismine
sul-dlss/argo
rdp/sensible-cinema
befdata/befdata
eithery/blue_troll
KitaitiMakoto/epub-parser
next-l/enju_library
brianhempel/isrubyfastyet
gamersmafia/gamersmafia
enriclluelles/route_translator
ets-berkeley-edu/calcentral
yast/yast-bootloader
stormpath/stormpath-sdk-ruby
archSeer/Scarlet
SouthArts1/ArtsReady
triAGENS/ashikawa-core
team-umlaut/umlaut
metacpan/metacpan-puppet
DataDog/chef-datadog
RobBikmansurov/bp1step
Loremaster/Chi_app
INTA-Suelos/SiSinta
jcs/lobsters
ifunam/salva
puppetlabs/packaging
Novator/Pandora
frab/frab
Albacore/albacore
Aalto-LeTech/stops
leereilly/swot
pentandra/lifepreserver
cxn03651/write_xlsx
vito/atomy
awead/Hydra-Rock
reciprocity/grc
rubymotion/sugarcube
YaleSTC/shifts
pophealth/popHealth
CyTeam/katalog
pat/thinking-sphinx
mysociety/alaveteli
tolien/ledgr-app
xing/beetle
travis-ci/travis-logs
dekellum/syncwrap
sdc/leap
NREL/api-umbrella-web
bbatsov/rubocop
refinery/refinerycms
diowa/icare
travis-ci/travis-tasks
sudara/alonetone
arbox/wlapi
dekellum/rjack
rabbit-shocker/rabbit
opal/opal
happypeter/onestep
ncbo/bioportal_web_ui
pixelastic/oroshi
movitto/omega
jbosstools/jbosstools-website
savonrb/savon
bengler/grove
chetan/bixby-manager
dschweisguth/gww
tent/tentd
laclasse-com/service-annuaire
everyleaf/kozuchi
thecourseforum/theCourseForum
lynnfaraday/aresmush
thoughtbot/guides
narkisr/puppet-base-env
binaryage/site
puzzle/cryptopus
ktns/ruphy
sgharms/LatinVerb
khustochka/quails
michaelfranzl/SalorHospitality
leapcode/leap_web
ronin-ruby/ronin-support
getsentry/raven-ruby
yast/yast-registration
eucalyptus/eucalyptus-cookbook
openshift/origin-server
TopClubCompany/developers
arangamani/jenkins_api_client
coorasse/Airesis
intuit/simple_deploy
remomueller/slice
koideploy/showcase
mozilla/build-puppet
duke-libraries/dul-hydra
mutle/fu2
gitlabhq/gitlab-ci
Ragnarson/shelly
aws/aws-sdk-ruby
YorickPeterse/ruby-lint
CyTeam/hozr
fetaro/rbatch
rails-api/active_model_serializers
Arie/serveme
OSAS/rh-events
rubys/awdwr
woto/yaponama_2012
remomueller/tasktracker
rideconnection/clearinghouse
jgraichen/redmine_dashboard
mikeymicrophone/little_hippie
sul-dlss/revs
rapidftr/RapidFTR
vcr/vcr
opf/openproject
niklas/cataract
magavdraakon/i-tee
codetriage/codetriage
crowbar/barclamp-crowbar
game7/sportified
GregLawson/Open-Table-Explorer
2dv401/wp102dv401
PecanProject/bety
AlexZerr/bonediva
piotrmurach/tty
redding/assert
girders-ios/Specs
stormpath/stormpath-rails
leapcode/leap_platform
mistydemeo/tigerbrew
ivaldi/brimir
edmundhighcock/gs2crmod
goldrush/goldrush
realityforge/domgen
nviennot/nobrainer
noted/noted
DanielMSchmidt/turnierApp
k5bot/k5bot
JoshCheek/seeing_is_believing
mmb/meme_captain_web
laclasse-com/service-cahiertextes
kavichen/kavichen.github.com
xtuaok/twitter_track_following
infochimps-labs/big_data_for_chimps
101companies/101rails
kostya/eye
ucsdlib/damspas
skooter/premierorders.rails
houston/houston-core
NYULibraries/findingaids
MushroomObserver/mushroom-observer
sup-heliotrope/sup
rubymonsters/speakerinnen_liste
smidig/conference-app
dpla/frontend
extension/people
zendesk/zendesk_apps_tools
paav-o/lounasaika
twitter/secureheaders
akicho8/bushido
chastell/art_decomp
hybridgroup/artoo
iconara/cql-rb
dwaynemac/padma-mailing
nanoc/nanoc
noguchi/photoxp
killbill/killbill-plugin-framework-ruby
viki-org/viki-api-gem
next-l/enju_circulation
devlab-oy/sepa
meinekleinefarm/shop
unepwcmc/wukumurl
asciidoctor/asciidoctor
jedcn/reveal-ck
nirnanaaa/gollum_rails
ranguba/groonga-client
theodi/open-orgn-services
agorf/feed2email
chef-cookbooks/jenkins
deivid-rodriguez/nipanipa
brigade/scss-lint
keikun17/yapos
everydayhero/developer.everydayhero.com
leschenko/ab_admin
threadhead/scoutz
openshift/openshift-extras
sdbmich1/plumboard
TranscendComputing/CloudMux
pione/pione
careerbuilder/ruby-cb-api
cubesystems/releaf
aheward/kuality-coeus
catarse/catarse
dhoelzer/DAD
gitlabhq/gitlab-shell
discourse/discourse
seekshiva/courses
tunacasserole/omni
rondevera/twig
rdunlop/unicycling-registration
rubber/rubber
livingstyleguide/livingstyleguide
jasnow/LegisTracker2
andreassteph/fetsite
brianwisti/marysplace-rails
mikisvaz/rbbt-util
neinteractiveliterature/intercode
ReviewSite/ReviewSite
nmeylan/RORganize
aws/opsworks-cookbooks
theodi/member-directory
insignia4u/i4u
killbill/killbill-admin-ui
domokos/Furnacecontrol
tansaku/LocalSupport
whiteleaf7/narou
zendesk/zendesk_apps_support
Vermonster/wwqi-platform
fgrehm/vagrant-lxc
theodi/services-manager
rollbar/rollbar-gem
ministryofjustice/tribunals
pubnub/ruby
kazu634/chef
niku/nikulog
theodi/open-data-certificate
SUSE/hackweek
ichylinux/daddy
eurucamp/call4papers
jzaleski/hijack
fjordllc/interns
Shopify/identity_cache
steveoro/goggles
HakubJozak/volant
NESCent/TraitDB
michaeldever/stinson
openstax/exercises
myGrid/taverna-player
gjtorikian/html-proofer
cantino/huginn
loomio/loomio
appium/ruby_lib
monologue31/Friendnews
WinRb/WinRM
appfolio/ae_page_objects
deivid-rodriguez/byebug
redding/mr
tansengming/rails-base
sensu/sensu-docs
Linuxbrew/linuxbrew
grzesiek-galezowski/tdd-ebook
pearkes/tugboat
zunda/emoticommits
redding/deas
theodi/dashboards
grrrisu/dawning
opencivicdata/ocd-division-ids
coopdevs/katuma
openstack/puppet-keystone
openstack/puppet-nova
mongodb/bson-ruby
rhenium/aclog
mlandauer/cuttlefish
rayasocialmedia/psych_analyzer
projecthydra/sufia
ai/autoprefixer-rails
eiel/railsdoc.eiel.info
ulmic/i_am_the_lider
chef-cookbooks/omnibus
Katello/katello-installer
ytti/oxidized
gabriprat/hoshinplan
bbfsdev/bbfs
litaio/lita
larryberland/ushomego
jenkinsci/puppet-jenkins
dodgerogers/Teebox_network
Lorjuo/tgt
IntersectAustralia/faims-web
openaustralia/publicwhip
IntersectAustralia/hcsvlab
concord-consortium/lara
musescore/MuseScore_design
customerlobby/lobbyist-ruby
theforeman/foreman_discovery
anusharanganathan/oraingest
matthias-g/stc-karlsruhe
NYULibraries/getit
camsys/oneclick
diowa/ruby2-rails4-bootstrap-heroku
orocos-toolchain/orogen
Det-Kongelige-Bibliotek/valhal
malmostad/intranet-dashboard
fschwiet/letscodejavascript
dmhallahan/issuedeck
chorankates/rouster
atlrug/atlrug4
laclasse-com/service-documents
newmen/versatile-diamond
garethr/garethr-docker
Cominch/dial-a-device
cloudfoundry/java-buildpack
Metaswitch/chef
ably/docs
HabitatMap/AirCasting
dwaynemac/attendance
Scalarm/scalarm_experiment_manager
Vars5/resumereader
maddenp/ppp
chef-cookbooks/docker
mbj/unparser
johm/borges
rosa-abf/rosa-build
codeforamerica/ohana-api
openstack/cookbook-openstack-compute
Coursemology/coursemology.org
openSUSE/osem
JITSystems/ijkh
appsignal/appsignal
mgup/hq
openfootball/at-austria
paulfioravanti/resume
great-h/great-h.github.io
WGBH/openvault
brigade/overcommit
bundler/bundler
puppetlabs/puppetlabs-postgresql
foodcoops/foodsoft
walkeriniraq/twitarr
neno/navigator-3-frontend
jjyg/boobs
graspapp/grasp
redcross/arcdata
octokit/octokit.rb
edx/cs_comments_service
publiclab/plots2
eea/bise.catalogue
fiuba/alfred
gramie-sw/ggp2
giv2giv/giv2giv-rails
pagseguro/ruby
mather013/footy
Stackle/BMB2014
eapache/starscope
ArturT/Railstom
opal/opal-browser
groupon/Selenium-Grid-Extras
ICRAR/TSN_alpha
rails-girls-summer-of-code/rgsoc-teams
rom-rb/rom
yeahrb/yeah
nishiki/manage-password
amatriain/feedbunch
1337/yesterday-i-learned
Helabs/pah
gems-uff/sapos
swipely/docker-api
glebm/i18n-tasks
averageazn247/tamulol
linduxed/bluecherries
puppetlabs/razor-server
tmcyf/tmcyf
orgsync/active_interaction
mizzy/serverspec
psu-stewardship/archivesphere
NYULibraries/rooms
rails-assets/rails-assets
github/github-ldap
moebooru/moebooru
openteam-com/timetable-app
afimb/chouette2
bundler/bundler-api
jalcine/cmake.vim
ankane/searchkick
github/choosealicense.com
jaros1/gofreerev-fb
mmozuras/pronto
mthssdrbrg/kafka-cookbook
icco/inspiration
mcatm/rippingyard
CartoDB/cartodb
kiba/kibabase
TheGiftsProject/katalog
hyoshida/clipclap
bf4/gemproject
punchgirls/job_board
otvorenesudy/otvorenesudy
droidlabs/motion-prime
calonso-conabio/buscador
thecartercenter/elmo
appunite/cocoapods-private
skylightio/skylight-ruby
coopdevs/timeoverflow
vjoel/tupelo
zomeki/zomeki-development
ivannasya/vendor
BBC-News/wraith
hitobito/hitobito
layervault/psd.rb
mojotech/capybara-ui
osrf/homebrew-simulation
trema/pio
seedpod/seedpod
TheOdinProject/theodinproject
finnlabs/openproject-meeting
codificadas/docs-es
rainforestapp/rainforest-cli
github/pages-gem
thoughtworks/pacto
yujinakayama/transpec
MauroQuaglia/studio
OpenBEL/bel.rb
skycocker/chromebrew
puppetlabs/beaker
aburone/titi
roadhouse/mtgmgmt
mifl/android_device_qcom_msm8960
droonga/fluent-plugin-droonga
cloudfoundry/java-buildpack-dependency-builder
sanichi/icu_www_app
openstack/puppet-neutron
knewter/elixir-sips-site
samaaron/sonic-pi
staticfloat/homebrew-juliadeps
JJ/IV
mozilla-services/svcops-puppet
bemyeyes/bemyeyes-server
feedbin/feedbin
fs/rails-base
GSI-HPC/sys-chef-cookbook
cequel/cequel
thebravoman/software_engineering_2013
nanoc/nanoc.ws
xward/ruby-agents-sdk
bfosberry/GameSocial
square/kochiku
osaris/sp-gestion
superbay/knowledge
UniversityRadioYork/ury-rapid
SpeciesFileGroup/taxonworks
grimmwerks/batterypopv2
uhm-coe/kapa
opengovernment/askthem
SearleCon/sacobs
aleksandarmilicevic/arby
SCPR/SCPRv4
ministryofjustice/courtfinder
JuanitoFatas/Guides
zfoster/corgi
jrhorn424/recruiter
ggomagundan/todpop
ruedap/daplog
elastic/elasticsearch-ruby
Blahah/transrate
travis-ci/dpl
yanhaijing/yanhaijing.github.com
calabash/calabash
osulp/Room-Reservation
rletters/rletters
cirope/mawidabp
OregonDigital/oregondigital
whargrove/vino
codeforamerica/cityvoice
globalize/globalize
rspec/rspec-support
openstack/fuel-astute
nico-hn/PseudoHikiParser
web-cat/code-workout
stephenweaver/groupGrant
edwardchalstrey1/fragmented_genome_with_snps
RobinClowers/photo-album
triAGENS/guacamole
chrisgartsen/declare
beck03076/organizor
KernelCorp/vote
jpnauta/Bakery-Rails
varvet/godmin
nsrr/www.sleepdata.org
pulibrary/pul-store
Forekasting/kiwi
conjurinc/cli-ruby
conjurinc/api-ruby
Mattwusta/chef
fudanchii/shreds
NYULibraries/eshelf
webhat/oplerno
ryanfb/pleiades-geojson
UM-USElab/gradecraft-development
axsh/openvnet
openfoodfoundation/openfoodnetwork
nspire/nspire
Thibaut/devdocs
bikeindex/bike_index
mnipper/rails_survey
znamenica/bukovina
gocardless/statesman
projecttacoma/bonnie_bundler
square/shuttle
plum-umd/rdl
skomputer/lilsis
cloudfoundry-incubator/admin-ui
chanks/que
swipely/dockly
caskroom/homebrew-versions
railskipl/drive
alabs/nolotiro.org
QutBioacoustics/baw-server
AlexKtf/IdeesBebe
pjf/masterwork-dwarf-fortress
arrjay/puppet
korobkov/fremantle
test-kitchen/test-kitchen
berkshelf/berkshelf
rubyroidlabs/bsuir-courses
activerecord-hackery/ransack
asm-helpful/helpful-web
opal/opal-rspec
dwaynemac/overmind
openshift/vagrant-openshift
ruba-ruba/Online-File-Manager-3.0
smalruby/smalruby-editor
kodgemisi/confdeck
sul-dlss/spotlight
gcoco/CI-for-GoldenCheetah
tg123/commandlinefu.cn
wordsandwriting/lumen
finnlabs/openproject-backlogs
jfitz/BASIC-1965
code-and-effect/effective_orders
rightscale-cookbooks/rs-mysql
obduk/cms
hacken-in/website
mizzy/specinfra
yochiyochirb/meetups
vjrj/tails
jekyll/jekyll
quintel/etmodel
plexus/yaks
toptal/chewy
Homebrew/homebrew
hankssj/musicalretreat-registration
dwaynemac/contacts
informatom/mercator
castwide/gamefic
sue445/rubicure
KnVerey/Transiterm
openstack/fuel-library
Agalin/RailsRegistrationForm
caskroom/homebrew-fonts
quintel/etengine
rbjarnason/open-active-voting
xaque208/puppet-bsd
gonzalo-bulnes/simple_token_authentication
OregonDigital/opaque_ns
vilcabamba/bandango
curoverse/arvados
cul/clio-spectrum
moneyadviceservice/frontend
quintel/etsource
fiedl/wingolfsplattform
mehulkar/mehulkar.github.io
harman-signal-processing/hsp_websites
alexherbo2/dotfiles
dotledger/dotledger
Dawenster/timeauction
minixli/minixli.github.io
UNLSiteMaster/site_master
miabot/galleries.csv
theodi/csvlint.rb
cercomp/weby
theodi/csvlint
AgileVentures/WebsiteOne
openaustralia/morph
dukechronicle/chronline
withassociates/slices
qurt/qMoney
satoyos/Shuffle100
openpolitics/votebot
reckoning/app
Yellowen/Faalis
Mapotempo/mapotempo-web
voltrb/volt
danielres/marketplace
kellyi/rubyeuler
gowtham1337/game_longest_streak
controlshift/prague-server
Jarviis/Jarviis
next-l/enju_leaf
bmorrall/PleaseIgnore
chegoon/beautymeets2
f96q/kptboard
taw/paradox-tools
pothibo/ecrire
camsys/transam_core
Scalr/installer-ng
NYULibraries/login
finnlabs/openproject-costs
maxcobmara/ogma
SUSE/connect
netguru/review
sc0v/binder-app
SUL-DIG/hcrc_solr
uriklar/ZikaronBasalon
devlab-oy/pupenext
ministryofjustice/accelerated_claims
jamesrwhite/minicron
publify/publify
oar-team/kameleon
wurde/script
wurde/canvas
aspire-public-schools/reader-tool
metastudio/cashbox
socializer/socializer
thoughtbot/gitsh
ianfleeton/zmey
peter-murach/finite_machine
calblueprint/roots-of-success
hpi-swt2/hpi-hiwi-portal
yuki24/did_you_mean
BBC-News/alephant-broker
JasonBarnabe/greasyfork
redhat-openstack/openstack-puppet-modules
elastic/logstash
hybitz/hyacc
forumone/web-starter
openstax/accounts
Drosty/truegm
coralnexus/corl
devbfs/homebrew-formulas
peatio/peatio
BlockScore/blockscore-ruby
jmuheim/base
G5/g5-hub
YorickPeterse/oga
teamnaruby/askalot
LBierkandt/graph-anno
exercism/xruby
exercism/x-api
pubannotation/pubannotation
flaf/miscellaneous
mozilla-japan/gitfab2
marketboomer/nunchaku
soad003/flatman
rails-decal/railsdecal.com
aarmora/ADota2League
paulecoyote/homebrew-paulecoyote
ReserveBar1/spree_reservebar_core
kiat-mao/shpost_storage
chuanjiabao1981/qatime
BookingSync/bookingsync-api-docs
Vizir/carnival
anthonymidili/EasyKeep
megamsys/nilavu
togogenome/togogenome
evgeny-myasishchev/ledger
altmer/travel-planner
hcs/puppet-config
cvut/sirius
monitoria-imeusp/monitoria-imeusp
ualbertalib/discovery
ikishik/parra-shop.com
ENSL/ensl.org
BigGillyStyle/dealer
Jellyfishboy/trado
petercunning/memapp
meruba/sisfa
opf/openproject-translations
SPIR-Communication/InternalSpecs
dchbx/gluedb
ministryofjustice/sensu-formula
vlewin/e-shop
OSGeo/homebrew-osgeo4mac
zeisler/active_mocker
raspberrypi/documentation
mezuro/kalibro_processor
lighthouse-labs/laser_shark
locomotivecms/steam
hakanensari/peddler
capacity4dev/capacity4more
Icinga/icinga-vagrant
Azure/azure-sdk-for-ruby
18F/C2
cul/dcv
tsuru/puppet-tsuru
IceDragon200/es-moon
biola/buweb-content-models
waagsociety/citysdk-ld
houndci/hound
Homebrew/homebrew-php
gavinlaking/vedeu
osuosl-cookbooks/osl-openstack
biola/profile-publisher
jemc/myco
doorkeeper-gem/doorkeeper
mxabierto/adela
AgileVentures/osra
ronan-mch/det_sker
CDLUC3/dmptool
hanami/model
gjtorikian/mathematical
systers/language-translation
NYULibraries/ichabod
droonga/droonga-engine
moneyadviceservice/mortgage_calculator
crest-cassia/oacis
IT61/it61-rails
ciax/ciax-xml
julianguyen/ifme
jneen/rouge
cbitstech/conemo_dashboard
jenkins-infra/jenkins-infra
wilde4/volcanic-apps
shirasagi/shirasagi
unepwcmc/ProtectedPlanet
sul-dlss/SearchWorks
glacials/splits-io
caskroom/homebrew-cask
flapjack/flapjack
boomerdigital/spree_avatax_certified
codevise/pageflow
skyline-gz/zrquan
ministryofjustice/parliamentary-questions
mindpin/knowledge-camp
OvercastNetwork/Rotations
jewilmeer/tv-guide
mapzen/metroextractor-cities
G5/g5-content-management-system
sketchplugins/plugin-directory
assemblymade/coderwall
Fullscreen/yt
o2project/steins-git
TeaWithStrangers/tws-on-rails
imazen/repositext
haruska/pool_madness
camsys/transam_cpt
flapjack/omnibus-flapjack
johnbellone/consul-cookbook
AnnArborTees/softwear-crm
pivotal-cf/bookbinder
sri-sankl/manthan_erp
alexgenco/neovim-ruby
danascheider/tessitura
teikei/teikei
zooniverse/Panoptes
crowdint/kardex-crowdint-com
percyliang/refdb
netguru/people
kaspernj/awesome_tasks
calblueprint/calblueprint.org
dongli/packman
korobkov/perth
jeffreybiles/simpler-ember-sparks-website
NREL/OpenStudio-workflow-gem
zendesk/samson
richpeck/exception_handler
initLab/fauna
panterch/future_kids
timvideos/planet
NextEpisode/NextEpisode
delian7/partner
Sammidysam/wl-assassins
criticaljuncture/govpulse
thefrontiergroup/rails-template
interagent/pliny
grubby/grubby
pouyajoon/GeoPRails
openjaf/cenit
sass/sass
DetentionLogs/detentionlogs
Falkor/falkorlib
realm/jazzy
gamemachine/gamemachine
ruby-concurrency/concurrent-ruby
heatseeknyc/heatseeknyc
Rademade/rademade_admin
vpsfreecz/vpsadmind
sportngin/hubstats
rock-core/tools-roby
jmmastey/level_up_exercises
pfarrell/bemused
gabebw/roommate_helper
FarmBot/farmbot-web-app
Juniper/contrail-puppet
seek4science/seek
pandeiro245/245cloud
datarockets/datarockets.com
codeforamerica/citygram
vpsfreecz/vpsadmin-api
hanami/hanami
stevenharman/cellar
y-yagi/wikin
ManageIQ/manageiq
nviennot/playdrone
envato/double_entry
jmmastey/level_up
mschlenker/lesslinux-builder
turingschool/ruby-submissions
rock-core/tools-syskit
dssit/roles-management
ksantiago/lenditrails
biemond/biemond-wildfly
ministryofjustice/atet
turingschool/today
scott-fryxell/copper.is
jwadolowski/cookbook-cq
moneyadviceservice/cms
hello-gem/hello
winebarrel/ridgepole
lynndylanhurley/devise_token_auth
LubyRuffy/fofa
Thomas008/robust_excel_ole
finapps/ruby-client
JumpStartGeorgia/Election-Map
rock-core/autoproj
mitre-cyber-academy/registration-app
rubyku/hourschool
Orasi/onTap
factore/tenon
BaobabHealthTrust/HTC_Module
