joyent/libuv
mapnik/mapnik-packaging
bunuelo/funk2
teragonaudio/MrsWatson
VFR-maniac/L-SMASH-Works
drhelius/Gearboy
Kitware/CMake
Byzantium/Byzantium
kleinerm/Psychtoolbox-3
atheme/atheme
FauxFaux/PuTTYTray
libav/libav
ggreer/the_silver_searcher
parrot/parrot
esheldon/misc
djcb/mu
luke-jr/bfgminer
matsumoto-r/mod_mruby
rhomobile/rhodes
imr/ngspice
khiner/BeatBot
libtom/libtomcrypt
Meecast/meecast
NICMx/Jool
groonga/groonga
arut/nginx-rtmp-module
TI-OpenLink/wl18xx
synthetos/TinyG
mwh/minigrace
thp/psmoveapi
waruqi/tbox
eroullit/dabba
Libvisual/libvisual
linuxmint/nemo
servalproject/serval-dna
jedisct1/dnscrypt-proxy
Torc/torc
araisrobo/linuxcnc
lsalzman/tesseract
DragonFlyBSD/DragonFlyBSD
kkaempf/sblim-sfcb
Xyratex/lustre-stable
rread/lustre
corosync/corosync
tcltk/tk
MidnightCommander/mc
chapuni/polly
llvm-mirror/polly
tianocore/edk2
Hexxeh/rpi-firmware
pikelang/Pike
zeromq/czmq
android/platform_bionic
haiwen/seafile
edoko/AirKernel_GN_JB
libguestfs/libguestfs
CTSRD-TESLA/TESLA
WhisperSystems/Signal-Android
apache/httpd
wangjian1009/GeneralDE
libopencm3/libopencm3
tcltk/tcl
chapuni/compiler-rt
llvm-mirror/compiler-rt
jonas/tig
gittup/tup
etlegacy/etlegacy
thasmin/Podax
mabl/ChibiOS
libgit2/rugged
varnish/Varnish-Cache
edoko/AirKernel_NS_JBN
danielschwierzeck/u-boot-lantiq
dvdhrm/kmscon
Tinkerforge/brickd
muggot/openmcu
JHUISI/charm
heimdal/heimdal
lh3/bwa
jjensen/luaplus51-all
eggert/tz
MISL-EBU-System-SW/mainline-public
yquake2/yquake2
matsumoto-r/ngx_mruby
cvmfs/cvmfs
franciscofranco/tuna
stawel/cheali-charger
jthornber/linux-2.6
rnk/dynamorio
openafs/openafs
tytso/e2fsprogs
Ettercap/ettercap
samtools/samtools
mapserver/mapserver
tatsuhiro-t/spdylay
JonasT/Blitwizard
TheCodeLab/IntenseLogic
karelzak/util-linux
gsliepen/tinc
simh/simh
mdaniel/virtualbox-org-svn-vbox-trunk
mavlink/mavlink
ceph/ceph-client
embedthis/http
math-atlas/math-atlas
marciof/eon
cea-hpc/robinhood
bgn9000/Shun-Andromeda
kkaempf/sane-backends
jgaeddert/liquid-dsp
andikleen/linux-misc
roboterclubaachen/xpcc
MatzeB/libfirm
MatzeB/firm-testsuite
imammedo/qemu
lizardo/bluez-devel
flashrom/flashrom
taysom/tau
gparmer/composite
jmccrohan/openwrt-packages
mate-desktop/mate-control-center
gromacs/gromacs
ipxe/ipxe
RyanMcG/dotfiles
cdrttn/samba-regedit
stereotype441/piglit
mdekauwe/GDAY
thepowersgang/acess2
albinoloverats/encrypt
securactive/junkie
gnuplot/gnuplot
systemd/systemd
linux-test-project/ltp
FreeRDP/Remmina
dankamongmen/sprezzos-world
hroptatyr/unsermarkt
IgnorantGuru/spacefm
slaeshjag/libdarnit
gregier/libpeas
alexlee188/ghpsdr3-alex
browndeer/coprthr
ericpaulbishop/gargoyle
lpereira/lwan
Gnucash/gnucash
tmk/tmk_keyboard
franko/gsl-shell
miniupnp/miniupnp
goldelico/gta04-kernel
ubitux/FFmpeg
cgyarvin/urbit
toddfries/OpenBSD-sys-patches
GNOME/gedit
c10ud/CHDK
michaellukashov/Far-NetBox
markusk/direcs
openslide/openslide
rainmeter/rainmeter
tuffy/python-audio-tools
PKRoma/git
barnowl/barnowl
RobertCNelson/u-boot
pd-l2ork/pd
gammu/gammu
Zeex/sampgdk
erikd/libsndfile
gfto/oscam
sos22/SLI
jazzscheme/jazz
zhaozg/lua-openssl
ckaestne/TypeChef
sardemff7/eventd
olilarkin/wdl-ol
PKRoma/linux
nevelis/rAthena
milter-manager/milter-manager
ibr-alg/wiselib
ademakov/MainMemory
acinonyx/openwrt
epeli/vimconfig
freedreno/kernel-msm
shentino/kotaka
dajobe/raptor
libarchive/libarchive
littlekernel/lk
nicboul/DNDS
sahib/rmlint
mstorsjo/libav
dieterv/gobject-introspection
kulp/tenyr
pchote/Puoko-nui
kevinlawler/kona
gmsoft-tuxicoman/pom-ng
android/platform_development
hughsie/zif
OpenVPN/openvpn
Hiroyuki-Nagata/JaneClone
tseliot/nvidia-graphics-drivers
emaste/openvswitch
jcupitt/libvips
gambit/gambit
samtools/htslib
mate-desktop/mate-panel
rui314/8cc
simgrid/simgrid
MathieuDuponchelle/PitiviGes
bongiojp/nfs-ganesha
wereHamster/transmission
idunham/musl
ElecardSTB/elecard-apps
je-so/js-projekt
Yubico/yubikey-personalization
muennich/dotfiles
twain47/Nominatim
fredrik-johansson/arb
gerryg400/anvilos
nginx/nginx
lamby/pkg-redis
deater/perf_event_tests
Keruspe/GPaste
LinuxCNC/linuxcnc
jezze/fudge
sanshar/Block
horms/openvswitch
hrydgard/native
DarthMike/indielib-crossplatform
Milkyway-at-home/milkywayathome_client
pironex/pia-linux-kernel
lattera/freebsd
ranguba/rroonga
juskoa/trigger
android/kernel_common
ivmai/libatomic_ops
lpereira/hardinfo
vamposdecampos/fuse-emulator-svn
karelia/CurlHandle
elrepo/packages
embedthis/goahead
Susurrus/Autoboat
joylatten/opencryptoki
OSLL/qemu-xtensa
golems/amino
jcmvbkbc/linux-xtensa
servalproject/batphone
joegen/oss_core
ethersex/ethersex
ruby-gnome2/ruby-gnome2
hroptatyr/uterus
fontforge/fontforge
phillipberndt/pqiv
grke/burp
etmc/tmLQCD
r0ket/r0ket
NDN-Routing/NLSR0.0
chrisboyle/sgtpuzzles
vlm/asn1c
kergoth/tslib
2ndQuadrant/repmgr
ostreedev/ostree
videolan/vlc
qemu/qemu
lighttpd/lighttpd1.4
fachat/XD2031
nitlang/nit
open-watcom/open-watcom-v2
xvisor/xvisor
MatzeB/cparser
martin-tornqvist/ia
inliniac/suricata
cburstedde/p4est
atcurtis/mariadb
ThomasAdam/tmux-obsd
enthought/enable
nickg/nvc
openSUSE/libsolv
openlava/openlava
rhdunn/espeak
k-takata/Onigmo
angband/angband
mbrazeau/Morphy
spurious/SDL-mirror
yarden/MISO
ksandstr/mung
boothj5/profanity
imoseyon/leanKernel-d2vzw
rustyrussell/ccan
yuxans/haproxy
mbrossard/pkcs11
pabigot/bsp430
kwgoodman/bottleneck
apache/lucy
ensc/dietlibc
axn/bmx6
gmc-holle/xfdashboard
opencpi/opencpi
MoserMichael/cstuff
numascale/nc-utils
brong/cyrus-imapd
trini/u-boot
neilbrown/mdadm
frugalware/pacman-g2
wido/libvirt
exg/rxvt-unicode
kdudka/predator
dtsund/crawl-light
GNOME/libsoup
OGAWAHirofumi/tux3
speedata/publisher
xrg/asterisk-xrg
rcrr/reversi
apache/subversion
GNOME/gnome-themes-standard
Exim/exim
proot-me/PRoot
GNOME/tracker
GNOME/evolution-ews
strongswan/strongswan
mwolf76/yasmine
tytso/ext4-patch-queue
gefla/empserver
openSUSE/multipath-tools
gcwnow/linux
rozofs/rozofs
mfragkoulis/PiCO_QL
adaptivecomputing/torque
jamplus/jamplus
sambler/myblender
zmanda/amanda
kbc-developers/android_kernel_samsung_d2dcm
vincentbernat/lldpd
RTEMS/rtems-libbsd
swarren/u-boot
GNOME/gtksourceview
lanoxx/tilda
gfto/toybox
android/platform_external_qemu
kasymovga/RocketMinsta
foss-for-synopsys-dwc-arc-processors/gcc
neostreet/misc_poker_utilities
jbtredez/Atlantronic
daokoder/dao
stedolan/jq
chrisforbes/piglit
antoineL/minix
GNOME/gnome-disk-utility
GNOME/seahorse
frantony/barebox
jcdutton/libbeauty
mate-desktop/mate-applets
vendu/OS-Zero
william0wang/mplayer-ww
krakjoe/pthreads
kode54/vgmstream
arunpersaud/xboard
Sereal/Sereal
aix27249/abuilds
hroptatyr/dateutils
SumiTomohiko/fsyscall2
GNOME/gimp
GNOME/gtk
GNOME/totem
darkfeline/TouhouS
pjstevns/dbmail
WachterJud/qaul.net
ComparativeGenomicsToolkit/cactus
dajobe/rasqal
luaposix/luaposix
cahirwpz/demoscene
gtk-gnutella/gtk-gnutella
TamirEvan/mupdf
pfq/PFQ
grodansparadis/vscp
radare/sdb
sruffell/asterisk-working
simonvh/gimmemotifs
foresthz/op
linux4sam/at91bootstrap
lxc/lxc
gyoto/Gyoto
GNOME/rhythmbox
oetiker/rrdtool-1.x
android/kernel_msm
jp9000/OBS
vstakhov/rspamd
multiwii/baseflight
gtmanfred/pacman
nocs13/kgmEngine
fabbione/kronosnet
hivesolutions/viriatum
scotthartbti/cm_samsung_kernel_dempsey
sasq64/droidsound
GNOME/devhelp
paullouisageneau/Teapotnet
libMesh/libmesh
nsaspook/nidaq700
edenhill/librdkafka
keenlabs/KeenClient-iOS
RickCHodgin/libsf
troglobit/finit
magnumripper/JohnTheRipper
GNOME/empathy
WileyECoyote/geda-gaf
dhiru1602/android_kernel_samsung_latona
Unidata/LDM
TempusMUD/Tempuscode
Canonical-kernel/Ubuntu-kernel
sduclos/S52
Alexpux/Cygwin
jmolloy/pedigree
FreeRADIUS/freeradius-server
Quarx2k/jordan-kernel
Rockbox/rockbox
dbstar/dbstar
DDVTECH/mistserver
GNOME/clutter
lnls-dig/bpm-sw
harbour/core
apache/apr
eressea/server
GNOME/nautilus
openpilot/OpenPilot
contiki-os/contiki
pocoproject/poco
GNOME/gnome-calendar
SpiderLabs/ModSecurity
mpv-player/mpv
Ensembles/ert
hexchat/gtk-win32
Softmotions/ejdb
freedreno/mesa
anura-engine/anura
taylor001/crown
aphogat/mesa
kbc-developers/android_kernel_samsung_msm8660-common
slaeshjag/Muon
yanzhengli/hex
svn2github/valgrind
GNOME/gnome-initial-setup
rathena/rathena
ijacquez/libyaul
rig-project/rig
aubio/aubio
faux123/mako
PhilZ-cwm6/philz_touch_cwm6
gentoo/eudev
gemtools/gemtools
OpenHEVC/openHEVC
mdsteele/azimuth
smcameron/space-nerds-in-space
svn2github/chameleon
korman/HHHH
svn2github/valgrind-vex
hroptatyr/gandalf
openwsn-berkeley/openwsn-fw
liquid-mirror/valgrind
DeforaOS/libc
tschoonj/xmimsim
JeffreyRacine/R-Package-np
hroptatyr/unserding
hossbeast/fab
DeforaOS/Browser
opinsys/opinsys-debs
brho/akaros
shlomif/fc-solve
franciscofranco/mako
shankarathi07/linux_lg_jb
TacOS-team/tacos
GNOME/cogl
chadversary/mesa
nfs-ganesha/nfs-ganesha
pantheon-systems/fusedav
freifunk-bielefeld/firmware
kernelslacker/trinity
podonoghue/usbdm-eclipse-makefiles-build
palves/gdb
Fedjmike/fcc
Chris-plus-alphanumericgibberish/dnethack
beam/oscam
GNOME/gnome-terminal
RobertCNelson/barebox
shadowsocks/shadowsocks-android
linuxbox2/ntirpc
GNOME/gnome-panel
XIA-Project/xia-core
joewing/jwm
Micket/oofem
neutrinolabs/xrdp
lu-zero/valgrind
theqvd/theqvd
analogdevicesinc/iio-oscilloscope
olvaffe/mesa
multipath-tcp/mptcp
cernekee/openconnect
RT-Thread/rt-thread
CMB/edbrowse
chrisforbes/mesa
HerculesWS/Hercules
chan-sccp/chan-sccp
GNOME/gnome-control-center
GNOME/gnome-settings-daemon
jameswalmsley/bitthunder
xelerance/Openswan
dido/arcueid
ugtrain/ugtrain
GNOME/gdm
ENAC-Robotique/Robots
oftc/oftc-hybrid
visit-vis/VisIt
snake5/sgscript
GNOME/evolution-data-server
GNOME/eog
GNOME/evince
GNOME/gegl
tizonia/tizonia-openmax-il
omf2097/openomf
rampantpixels/foundation_lib
metaborg/strategoxt
zturtleman/spearmint
perl11/potion
openssl/openssl
GNOME/gjs
merbanan/rtl_433
jedisct1/libsodium
Snuzzo/funky_kernel
RIOT-OS/RIOT
microresearch/dark-interpreter
zmap/zmap
GaloisInc/smaccmpilot-stm32f4
bobrippling/ucc-c-compiler
bobrippling/tim
kevinbirch/kanabo
oracc/oracc
smackers/smack
analogdevicesinc/no-OS
tavmem/konaStk
andrewgregory/pacman
michaelpq/postgres
KFire-Android/kernel_omap_otter-common
GrahamDumpleton/mod_wsgi
gfxprim/gfxprim
drahnr/oregano
ipfire/ipfire-3.x
billiob/terminology
bl0ckeduser/new-bpf-tools
psycopg/psycopg2
hwoarang/uClibc
atztogo/phonopy
frankmorgner/openpace
dbittman/seakernel
TauLabs/TauLabs
schoebel/mars
AmmarkoV/RGBDAcquisition
M1cha/android_kernel_xiaomi_aries
rpm-software-management/librepo
swift-nav/libswiftnav
BirminghamConservatoire/IntegraLive
nmenon/linux-2.6-playground
gregkh/kdbus
sanguinariojoe/ocland
uroni/urbackup_backend
bareos/bareos
greearb/hostap-ct
st3vil/stylehouse
freifunk-gluon/packages
PenguPilot/PenguPilot
frankmorgner/vsmartcard
mity/mctrl
abrt/abrt
mirror/busybox
sherpya/MPlayer
iquiw/xsrc
yakov-g/gui_builder
DependableSystemsLab/LLFI
mnhrdt/imscript
abrt/libreport
gummesson/dotfiles
yarrick/lwip
tsee/jit-experiments
cetic/6lbr
dw/py-lmdb
networkupstools/nut
sipwise/kamailio
jhunt/clockwork
mbedmicro/mbed
Nuand/bladeRF
libreswan/libreswan
Rockbox-Chinese-Community/Rockbox-RCC
kengonakajima/moyai
canboat/BR24radar_pi
warmcat/libwebsockets
rakete/cute3d
KevinOConnor/seabios
razzlefratz/MotleyTools
boostorg/build
Saccubus/ffmpeg
e9925248/grandorgue
vdukhovni/postfix
hroptatyr/echse
UW-Hydro/VIC
ornladios/ADIOS
DeforaOS/Panel
PKRoma/ProcessHacker
chung-leong/qb
mirror/cygwin
psas/stm32
invisiblek/caf_kernel_msm
bfam/bfam
SRA-SiliconValley/cairogles
aubio/aubio
igraph/igraph
vicamo/b2g_mozilla-central
tass-belgium/picotcp
skymoo/lalsuite
trueos/trueos
takaswie/snd-firewire-improve
ufoai/ufoai
petsc/petsc
opentechinstitute/commotiond
GNOME/mutter
swift-nav/piksi_firmware
cooperative-computing-lab/cctools
osmocom/libosmocore
Xilinx/linux-xlnx
plieven/qemu
fanglingsu/vimb
maxmind/libmaxminddb
chevah/python-package
blitz-research/monkey
hughsie/colord
dfelinto/blender
kdave/btrfs-progs
EttusResearch/uhd
aircrack-ng/aircrack-ng
osmocom/openbsc
jgalar/babeltrace
lwfinger/rtl8723au
GNOME/gvfs
OpenRC/openrc
tj90241/cen64
the-tcpdump-group/tcpdump
the-tcpdump-group/libpcap
cn-uofbasel/ccn-lite
Xilinx/gcc
GNOME/glib
pulseaudio/pulseaudio
glfw/glfw
sonyxperiadev/kernel
Schischu/STLinux.BSP-Duckbox
fletcher/MultiMarkdown-4
sysstat/sysstat
la1k/flyby
cmatsuoka/libxmp
richzw/CodeHome
FuangCao/cavan
jkstrick/samba
jeeb/mpc-be
SlimRoms/kernel_lge_mako
frugalware/fvbe
Xilinx/glibc
hugsy/proxenet
Sabayon/kernel
scafacos/scafacos
multigcs/multigcs
markfasheh/duperemove
frida/frida-core
Xilinx/u-boot-xlnx
eehouse/xwords
SunnyKi/bareBoot
RHESSys/RHESSys
Buzztrax/buzztrax
vathpela/grub2-fedora
mir-ror/valgrind
SaberMod/GCC_SaberMod
debrouxl/tilibs
MorgothCreator/mSdk
ktoonsez/KT-SGS4
kunquat/kunquat
sfjro/aufs3-linux
rpm-software-management/createrepo_c
librae8226/nuttx-git
insieme/insieme
sonyxperiadev/prima
jonathancast/globalscript
zerotier/ZeroTierOne
rsbx/389ds
OpenSIPS/opensips
persia/freeciv
mirror/desmume
benjaminy/Charcoal
andysworkshop/stm32plus
OpenIndiana/oi-userland
weareleka/moti
msakuta/VastSpace
tklengyel/xen
xively/libxively
la1k/libpredict
qtproject/qt5
rene0/dcf77pi
libre-mesh/lime-packages
renard314/textfairy
BibAlex/bhl_rails
facebook/watchman
freebsd/pkg
cchriste/visit
GNOME/cheese
OlyCow/FTC_2013-2014
PX4/NuttX
vheuken/Purity2D
doadin/android_device_samsung_ancora_tmo
klange/toaruos
Ravenbrook/mps
Pilen/ubertex
Juniper/libslax
Juniper/juise
compatibleone/accords-platform
dgoulet/lttng-tools-dev
SMSG-MAC-DEV/MacPatch
jbmikk/pars
GNOME/gnome-photos
LADSoft/OrangeC
KTXSoftware/Kore
jdesfossez/lttng-tools-dev
blp/ovs-reviews
GNOME/evolution
GNOME/dia
chaos4ever/chaos
sshirokov/csgtool
mirror/reactos
Uroc327Mirrors/mesa3d
Bluerise/OpenBSD-src
vividos/RemotePhotoTool
GNOME/gnome-online-accounts
sisioh/trinity
whot/libevdev
frida/frida-gum
autosportlabs/RaceCapture-Pro_firmware
kbc-developers/android_kernel_samsung_jfdcm
ricktaylor/indigo
avionic-design/linux-l4t
davidfetter/postgresql_projects
Rodeo314/hb-saintdev
MoarVM/MoarVM
torproject/tor
jorisvink/kore
mackyle/sqlite
mongodb/libbson
radfordneal/pqR
Distrotech/samba
Distrotech/openssl
mhogomchungu/zuluCrypt
morse-simulator/morse
Distrotech/openldap
Distrotech/gstreamer
Distrotech/net-snmp
kkiesel/singlePhoton
Distrotech/LVM2
Distrotech/dbus
Distrotech/ffmpeg
Distrotech/gst-plugins-base
Distrotech/libvpx
libretro/mupen64plus-libretro
ging/licode
Distrotech/gnutls
ambrop72/aprinter
Distrotech/gawk
clickok/iRobotInterface
jbboehr/handlebars.c
Distrotech/gnupg
opinsys/puavo-wlan
SoylentGraham/SoyLib
glyptodon/guacamole-server
AriesVE-DevCon-TEAM/android_device_samsung_ariesve
hroptatyr/glod
Distrotech/gtk
Distrotech/guile
Warsow/qfusion
Distrotech/v4l-utils
mirror/xserver
Distrotech/linphone
lunixbochs/glshim
atztogo/spglib
firehol/netdata
poschengband/poschengband
msteinert/gtk
axxia/axxia_u-boot
Distrotech/hostapd
irontec/sngrep
mwarning/KadNode
mifl/android_kernel_qcom_msm
objectos/rio
GNOME/librsvg
pantoniou/linux-beagle-track-mainline
LiMinggang/madedit-mod
marcuswestin/FunObjc
xylosper/bomi
genometools/genometools
mchalupa/wayland
ppenna/nanvix
libretro/RetroArch
tarantool/tarantool
ljalves/linux_media
Zeke-OS/zeke
dylanryan/PiInTheSky
michail-nikolaev/task-force-arma-3-radio
pippijn/aldor
fakenmc/cf4ocl
mifl/android_kernel_pantech_oscar
detomon/BlipKit
allinurl/goaccess
plainoldcj/nubuck
jarikomppa/soloud
samtools/bcftools
hakzsam/mesa
torch/torch7
sbc100/native_client
open-mpi/hwloc
boywert/SussexBigRun2013
franko/regress-pro
xaionaro/clsync
Kyle873/DoomRPG
cms-ts/ZbAnalysis
quixdb/squash
lxde/libfm
lhmouse/MCF
mcellteam/mcell
envytools/envytools
dresden-elektronik/deconz-rest-plugin
woolstar/tools
DFE/meta-hipos
svn2github/MPC-BE
Subsentient/epoch
coreutils/coreutils
kframework/c-semantics
strager/b-cc
dyne/dowse
actboy168/YDWE
Moguri/blender
MDSplus/mdsplus
GNOME/metacity
GNOME/gthumb
svn2github/mplayer
ebirger/tinkerpal
GNOME/libgweather
Unidata/netcdf-c
circonus-labs/reconnoiter
openETCS/modeling
ibell/coolprop
pilight/pilight
cchantep/dhek
lioncash/ExtractData
GNOME/file-roller
GNOME/glade
sheepdog/sheepdog
moneymanagerex/moneymanagerex
Grarak/grakernel-n1
flipk/pfkutils
powertieke/mur
avionic-design/pbs-stage2
GNOME/balsa
uoaerg/linux-dccp
GNOME/gnome-software
GNOME/network-manager-applet
GNOME/gnumeric
imirkin/mesa
urbit/urbit
GNOME/easytag
GNOME/grilo-plugins
carothersc/ROSS
GNOME/network-manager-openvpn
GNOME/gnome-dictionary
GNOME/bijiben
GNOME/gnome-bluetooth
nixnodes/glutil
GNOME/gdk-pixbuf
zhengshuxin/acl
GNOME/gnome-applets
GNOME/gnome-packagekit
GNOME/gobject-introspection
CompuCell3D/CompuCell3D
smaclennan/zedit
cms-ttH/ttHMultileptonAnalysis
gergelypolonkai/astrognome
psndna88/AGNI-pureSTOCK
pocl/pocl
openSUSE/wicked
JFreegman/toxic
moyix/panda
JFreegman/toxic
GNOME/gtk-doc
bminor/mesa-mesa
rfnash/st
pzabin/digital_metaphor
UCSD-E4E/radio_collar_tracker
stp/stp
GBert/misc
nanomsg/nanomsg
wballard/starphleet
bas-t/ffdecsawrapper
GBert/railroad
mmukadam/linux
phusion/passenger_apt_automation
hroptatyr/cattle
openchange/openchange
cesanta/mongoose
sergey-dryabzhinsky/dedupsqlfs
Juniper/contrail-vrouter
pmwkaa/sophia
bedops/bedops
cloudius-systems/osv
sofar/buxton
ufo-kit/libuca
DBCTRADO/TVTest
ellson/graphviz
rilmodem/ofono
accelio/accelio
franciscofranco/flo
cecashon/OrderedSetVelociRaptor
beagleboard/linux
espruino/Espruino
01org/processor-trace
makapuf/bitbox
razrqcom-dev-team/android_kernel_motorola_msm8960dt-common
jp9000/obs-studio
bblum/landslide
correlllab/cu-droplet
troop/FreeDcam
mkfifo/plot
Tryptophan/FTC6299
ufo-kit/ufo-core
ufo-kit/ufo-filters
ParRes/Kernels
GNOME/gnome-logs
civetweb/civetweb
jemalloc/jemalloc
google/capsicum-linux
TheGreenBox/sattelite_step_drive
turran/enesim
gphoto/libgphoto2
FreedomBen/rtl8188ce-linux-driver
vstakhov/libucl
ljakab/openvswitch
wormt/bcc
t-kristo/linux-pm
MaddTheSane/PlayerPRO
Gateworks/linux-imx6
XanClic/qemu
xboot/xboot
lab11/M-ulator
turran/egueb
InvictusInnovations/keyhotee
mrg666/android_kernel_mako
fabaff/aports
limes-datentechnik-gmbh/FLAMCLEP
Fantu/Xen
invisiblek/android_kernel_hp_tenderloin
i-rinat/freshplayerplugin
GostCrypt/GnuTLS
wangds/Animator-Pro
vysheng/tg
atks/vt
FreeTDS/freetds
contactless/wirenboard
kingfree/haut
xobs/novena-linux
resfilter/aldl
mate-desktop/caja
aerospike/aerospike-client-c
mate-desktop/atril
Chris-plus-alphanumericgibberish/dNAO
tarceri/Mesa_arrays_of_arrays
korman/Temp
omnirom/android_bootable_recovery
imoseyon/leanKernel-note3
rstats-db/RSQLite
montsuqi/panda
sbabic/swupdate
HackerFoo/poprc
faudio/faudio
PaulStoffregen/cores
raysan5/raylib
simonsj/libssh
Grarak/grakernel-tuna
bminor/glibc
altseed/Altseed
martinling/libsigrok
bminor/binutils-gdb
Bob-Z/World-of-Gnome
denemo/denemo
gbenson/binutils-gdb
justinfrankel/WDL
hnrose/ibssa2
holisticon/flynn-book-scanner
franciscofranco/hammerhead
lwindolf/liferea
eloaders/I-Nex
omnirom/android_kernel_samsung_jf
balabit/syslog-ng
gatzka/cjet
embedthis/esp
liblouis/liblouis
letoram/arcan
flar2/ElementalX-N5
fishilico/shared
fogleman/Craft
krakjoe/phpdbg
Distrotech/gst-plugins-bad
Distrotech/gst-plugins-good
rhdrjones/kvm-unit-tests
ossec/ossec-hids
habanero-rice/hclib
chrchang/plink-ng
dfelinto/blender
lukastoenne/blender
sbyx/hnetd
cboots/RGBD-to-Mesh
bluhm/sys
munificent/wren
spark/firmware
donkeyji/freekick
voidlinux/xbps
RobertCNelson/ti-linux-kernel
assaultcube/AC
fossology/fossology
m-labs/misoc
plusvic/yara
matlo/GIMX
indutny/bud
flar2/flo
HaxeFoundation/hxcpp
llvm-mirror/openmp
naemon/naemon-core
T-J-Teru/binutils-gdb
Shardcached/libshardcache
DragonFlyBSD/DeltaPorts
schenkl/Coldipozzo
westes/flex
hirakuni45/RX
VerKnowSys/sofin-definitions
domoticz/domoticz
libuv/libuv
offensive-security/exploit-database
hroptatyr/yuck
rene-dev/stmbl
rdebath/Brainfuck
hercules-390/hyperion
raphui/rnk
kamailio/kamailio
DeltaResero/GC-Wii-Linux-Kernels
limpkin/mooltipass
chocolate-doom/chocolate-doom
rsyslog/rsyslog
01org/tlm
ntanibata/weston-ivi-shell
olafhering/xen
thom311/libnl
wchristian/OpenGL.pm
backbone/backbone-sources
OPNay/android_kernel_samsung_jalte
embedthis/pak
Freecom/x264
bliksemlabs/rrrr
globus/globus-toolkit
keitee/kb
krkrz/krkrz
mupen64plus/mupen64plus-core
razrqcom-dev-team/android_kernel_motorola_msm8226
ronasimi/kernel_lge_geeb
CJLST/ZZAnalysis
F4k/f4ktion_kernel
lab11/opo
reicast/reicast-emulator
grobian/carbon-c-relay
LC-Team/LCUI
SlimRoms/kernel_lge_msm8974
nikki93/cgame
oldscienceguy/PebbleSDR
chamaken/ulogd2
wedesoft/aiscm
NamelessRom/android_kernel_samsung_jf
NamelessRom/android_system_core
awsteiner/o2scl
cesanta/v7
uf-mil/PropaGator
mirage/xen
scoty755/android_kernel_htc_imnj
micropython/micropython
tarceri/Mesa_arrays_of_arrays_piglit
c9s/Pux
JoakimSoderberg/catcierge
dorimanx/Dorimanx-LG-G2-D802-Kernel
brltty/brltty
ircd-hybrid/ircd-hybrid
telehash/telehash-c
andip71/boeffla-kernel-cm-s3
mrnuke/coreboot
daschaich/susy
hishamhm/htop
atrinik/atrinik
apache/lucy-clownfish
instead-hub/instead
LIS/lis-next
GangZhuo/BaiduPCS
Arc-Team/android_kernel_htc_evita
openssh/openssh-portable
xemul/criu
vijaymathew/slogan
hellsgod/hells-Core-N5
milc-qcd/milc_qcd
svn2github/reactos
scorpion81/blender-fracture
smealum/ctrulib
mupen64plus-ae/mupen64plus-ae
NREL/Radiance
cvxgrp/scs
lscsoft/lalsuite
bdancer/blender-for-vray
oridb/mc
oguyon/Cfits
grate-driver/linux
zturtleman/mint-arena
rumpkernel/rumprun
rumpkernel/buildrump.sh
bradharding/doomretro
pol51/PJSIP-CMake
Karlson2k/libmicrohttpd
anoopcs9/glusterfs
ultravideo/kvazaar
monkey/monkey
fltk/test-only
