dropwizard/metrics
jamesagnew/hapi-fhir
JavaMoney/jsr354-api
jayway/JsonPath
jberkel/sms-backup-plus
jch/html-pipeline
jedi4ever/veewee
jenkinsci/jenkins.rb
jfelchner/ruby-progressbar
jhalterman/modelmapper
jhy/jsoup
jimweirich/rake
jimweirich/rspec-given
jlong/serve
jmkgreen/morphia
jnunemaker/httparty
JodaOrg/joda-time
josevalim/rails-footnotes
jruby/activerecord-jdbc-adapter
jruby/jruby-rack
jruby/warbler
jsmestad/pivotal-tracker
julman99/gson-fire
junegunn/fzf
KatanaCode/blogit
kongchen/swagger-maven-plugin
kovyrin/db-charmer
kpumuk/meta-tags
kytrinyx/etsy
langalex/couch_potato
lassebunk/gretel
laurentpetit/ccw
leereilly/swot
lian/bitcoin-ruby
locomotivecms/engine
lookfirst/sardine
lsegal/yard
mame/quine-relay
marcandre/backports
markbates/configatron
markevans/dragonfly
marubinotto/Piggydb
mattheworiordan/capybara-screenshot
mattray/spiceweasel
mendhak/gpslogger
mgomes/api_auth
michelson/lazy_high_charts
middleman/middleman
middleman/middleman-guides
mikaelhg/urlbuilder
mileszs/wicked_pdf
minimagick/minimagick
mitchellh/vagrant
mixpanel/mixpanel-ruby
mojombo/god
mpatric/mp3agic
muffinista/chatterbot
mustache/mustache
mybatis/mybatis-3
nahi/httpclient
natritmeyer/site_prism
nbudin/devise_cas_authenticatable
Netflix/denominator
newrelic/rpm
NoamB/sorcery
norman/friendly_id
northworld/google_calendar
notnoop/java-apns
nurkiewicz/spring-data-jdbc-repository
nviennot/nobrainer
oblac/jodd
ocpsoft/rewrite
olbrich/ruby-units
OneBusAway/onebusaway-android
OpenGrok/OpenGrok
openid/ruby-openid
openshift/rhc
owlike/genson
pboling/sanitize_email
pbyrne/cron-checker
pdfkit/pdfkit
phlipper/chef-monit
phoet/on_ruby
pivotal/LicenseFinder
plataformatec/simple_form
play/play
postrank-labs/goliath
prawnpdf/prawn
privly/privly-web
progit/progit
protobuf-ruby/beefcake
protostuff/protostuff
psi-probe/psi-probe
puppetlabs/facter
qos-ch/logback
qos-ch/slf4j
radar/by_star
radiant/radiant
rails/activeresource
rails/jbuilder
railsbp/rails_best_practices
recurly/recurly-client-ruby
redguide/nodejs
redline-smalltalk/redline-smalltalk
restlet/restlet-framework-java
rgrove/sanitize
rightscale/right_link
roboguice/roboguice
rodjek/librarian-puppet
rsl/stringex
rspec/rspec-mocks
rspec/rspec-rails
rstacruz/sinatra-assetpack
rtomayko/tilt
rubber/rubber
ruboto/ruboto
ruby-amqp/amqp
ruby-ldap/ruby-net-ldap
rubycas/rubycas-client
rubygems/rubygems
rubymotion/BubbleWrap
rubyworks/facets
ruckus/quickeebooks
ruhoh/ruhoh.rb
sachin-handiekar/jInstagram
sanity/quickml
savonrb/gyoku
savonrb/nori
savonrb/savon
scambra/devise_invitable
schacon/ruby-git
SchemaPlus/schema_plus
scttnlsn/dandelion
searls/jasmine-maven-plugin
sensu/sensu-community-plugins
sevntu-checkstyle/sevntu.checkstyle
Shopify/active_shipping
Shopify/shopify_app
Shopify/shopify_theme
simpligility/android-maven-plugin
skoji/gepub
soundcloud/lhm
sparklemotion/mechanize
sparklemotion/nokogiri
SpontaneousCMS/spontaneous
sporkmonger/addressable
SpoutDev/Vanilla
spree-contrib/spree_active_shipping
spree-contrib/spree_i18n
spree-contrib/spree_wishlist
spullara/mustache.java
sstephenson/sprockets
svenfuchs/rails-i18n
taganaka/polipus
tdiary/tdiary-core
technicalpickles/homesick
thibaudgg/video_info
thorin/redmine_ldap_sync
thoughtbot/appraisal
thoughtbot/capybara-webkit
thoughtbot/clearance
thoughtbot/factory_girl_rails
thoughtbot/paperclip
thoughtbot/paul_revere
threerings/playn
TimotheeJeannin/ProviGen
tinkerpop/blueprints
tinkerpop/gremlin
tinkerpop/rexster
tomp2p/TomP2P
topfunky/gruff
torquebox/torquebox
toy/image_optim
travisjeffery/timecop
trifork/erjang
twitter/cloudhopper-smpp
twitter/commons
twitter/elephant-bird
TwP/logging
typhoeus/typhoeus
ushahidi/SMSSync
validator/validator
vcr/vcr
voormedia/rails-erd
woorea/openstack-java-sdk
wr0ngway/rubber
wvanbergen/chunky_png
xerial/sqlite-jdbc
xetorthio/jedis
xtreemfs/xtreemfs
yob/pdf-reader
yolk/valvat
youpy/ruby-lastfm
yui/yuicompressor
zdavatz/spreadsheet
zdennis/activerecord-import
zenhob/hcl
zeroturnaround/zt-zip
zevarito/mixpanel
zquestz/omniauth-google-oauth2
airbnb/nerve
airbnb/synapse
Albacore/albacore
apache/drill
ariejan/imdb
elastic/logstash
everzet/capifony
freerange/mocha
github/gemoji
google/error-prone
jmettraux/rufus-scheduler
jmxtrans/jmxtrans
jordansissel/fpm
loopj/android-async-http
maxcom/lorsource
mikel/mail
morgoth/picasa
nateware/redis-objects
neo4jrb/neo4j
opal/opal
OpenRefine/OpenRefine
padrino/padrino-framework
palantir/eclipse-typescript
pivotal/pivotal_workstation
plataformatec/responders
RailsApps/rails_apps_composer
refinery/refinerycms
rubinius/rubinius
ruby-json-schema/json-schema
ryanb/nested_form
serso/android-common
spacecowboy/NotePad
thoughtbot/suspenders
aws/aws-sdk-java
connectbot/connectbot
danmunn/redmine_dmsf
dianping/cat
DSpace/DSpace
fatfreecrm/fat_free_crm
fernandezpablo85/scribe-java
FontCustom/fontcustom
foursquare/twofishes
garethr/garethr-docker
github/hub
hashrocket/decent_exposure
heroku/heroku-buildpack-ruby
intridea/oauth2
jeremyevans/sequel
jMonkeyEngine/jmonkeyengine
jpos/jPOS
lostisland/faraday
MagLev/maglev
mbleigh/acts-as-taggable-on
MiniProfiler/rack-mini-profiler
mislav/will_paginate
nanoc/nanoc
opal/opal-jquery
openstreetmap/openstreetmap-website
OpenTSDB/opentsdb
pothibo/ecrire
querydsl/querydsl
ReactiveX/Rx.rb
redis/redis-rb
refinery/refinerycms-blog
rspec/rspec-expectations
RubyMoney/money
sferik/twitter
slim-template/slim
thoughtbot/flutie
torakiki/pdfsam
typesafehub/config
airlift/airlift
brewster/elastictastic
browsermedia/browsercms
comfy/comfortable-mexican-sofa
dannnylo/rtesseract
dblock/waffle
engineyard/ey-cloud-recipes
frab/frab
google/signet
IDPF/epubcheck
inaturalist/inaturalist
justinfrench/formtastic
kmuto/review
Netflix/Hystrix
phlipper/chef-postgresql
puppetlabs/marionette-collective
seejohnrun/ice_cube
Shopify/liquid
Shopify/shopify_api
wvanbergen/request-log-analyzer
zxing/zxing
activescaffold/active_scaffold
azkaban/azkaban
expertiza/expertiza
FasterXML/jackson-core
fluent/fluent-plugin-s3
heroku/heroku
linkedin/datafu
MarkUsProject/Markus
mongoid-rspec/mongoid-rspec
plataformatec/devise
rabbit-shocker/rabbit
rest-driver/rest-driver
square/retrofit
togglz/togglz
troessner/transitions
twall/jna
charlotte-ruby/impressionist
ci-reporter/ci_reporter
FasterXML/jackson-databind
google/truth
kevinsawicki/http-request
p6spy/p6spy
puma/puma
weld/core
weppos/whois
WinRb/WinRM
Graylog2/graylog2-server
helun/Ektorp
infochimps-labs/wukong
lenskit/lenskit
matthuhiggins/foreigner
mbulat/plutus
owncloud/android
perwendel/spark
presidentbeef/brakeman
projectblacklight/blacklight
rapid7/metasploit-framework
resque/resque
sferik/rails_admin
bartdag/py4j
orbeon/orbeon-forms
spockframework/spock
twilio/twilio-ruby
joelittlejohn/jsonschema2pojo
camping/camping
haiwen/seadroid
jOOQ/jOOQ
puppetlabs/hiera
satyan/sugar
spree/spree
Frege/frege
mongodb/morphia
perfectsense/brightspot-cms
rspec/rspec-core
nutzam/nutz
thoughtbot/factory_girl
defunkt/fakefs
grails/grails-core
troessner/reek
alecgorge/jsonapi
datastax/ruby-driver
openSUSE/open-build-service
assaf/vanity
javaparser/javaparser
square/okhttp
thoughtbot/shoulda-matchers
loomio/loomio
projecthydra/sufia
twilio/twilio-java
ongaeshi/milkode
tchandy/octopus
puppetlabs/puppetlabs-firewall
tananaev/traccar
codefirst/AsakusaSatellite
jruby/jruby
puppetlabs/puppetlabs-mongodb
fluent/fluentd
bostonrb/bostonrb
fastestforward/heroku_san
mperham/dalli
cyu/rack-cors
geoserver/geoserver
travis-ci/travis-cookbooks
blowmage/minitest-rails
ceph/ceph-cookbook
github/github-services
Homebrew/homebrew-science
jnicklas/capybara
intridea/omniauth
chocoteam/choco3
mongomapper/mongomapper
phlipper/chef-percona
myui/hivemall
rails/rails
bndtools/bnd
benhoskings/babushka
bogdan/datagrid
puppetlabs/puppetlabs-rabbitmq
springside/springside4
the-teacher/the_role
EmmanuelOga/ffaker
puppetlabs/puppetlabs-stdlib
structr/structr
puppetlabs/puppet
nevans/resque-pool
cloudfoundry/uaa
segmentio/analytics-android
burtlo/ark
ericam/susy
collectiveidea/audited
SonarSource/sonarqube
bndtools/bndtools
chef/chef
jsprit/jsprit
GlowstoneMC/Glowstone
broadinstitute/picard
brianmario/mysql2
brianfrankcooper/YCSB
zanata/zanata-server
junit-team/junit
gradle/gradle
github/developer.github.com
adhearsion/adhearsion
CanCanCommunity/cancancan
coorasse/Airesis
ctran/annotate_models
pat/thinking-sphinx
sup-heliotrope/sup
t-oster/VisiCut
eXist-db/exist
timmolter/XChange
psu-stewardship/scholarsphere
ruby-rdf/rdf
openpnp/openpnp
basho/riak-java-client
bokmann/business_time
diaspora/diaspora
excilys/androidannotations
griffon/griffon
influitive/apartment
